id,level,topic,title,issuer,document_number,published_date,effective_date,expiry_date,status,evidence_grade,official_page_url,official_file_url,local_path,sha256,accessed_at,needs_ocr,relation,notes
QD-FLEX-001,青岛,灵活就业/缴存提取贷款,青岛市住房公积金管理中心关于印发《青岛市灵活就业人员参加住房公积金制度试点实施细则》的通知,青岛市住房公积金管理中心,青住金发〔2023〕4号,2023-10-11,2023-10-11,,效力状态待核验（官网未标失效）,A,http://www.qdgjj.com/zcfg_108/jc_108/202310/t20231012_7507634.shtml,,sources/qingdao/2023-qingzhujinfa-4-flexible-employment.html,5c600682ed66bbf675de4dcf33b36f1bc69bad5800cd3eba1dcad7b1ad441388,2026-08-02,否,落实青政办发〔2023〕7号；第三十八条规定自印发之日起施行,完整HTML正文共38条；未列入行政规范性文件清理目录不等于失效，办理前需复核后续试点调整及月缴存额通知
QD-C2P-001,青岛,贷款/商转公,青岛市住房公积金管理中心关于印发《青岛市商业性住房贷款转个人住房公积金贷款管理暂行办法》的通知,青岛市住房公积金管理中心,青住金字〔2022〕80号,2022-12-02,2022-12-05,,效力状态待核验（官网未标失效）,A,http://www.qdgjj.com/zcfg_108/dk_108/202212/t20221202_6536172.shtml,,sources/qingdao/2022-qingzhujinzi-80-commercial-to-hpf.html,0bbe68fe7151eac35116872cf43ccae55068e227fd449f3a15878152d506eca2,2026-08-02,否,第十七条规定自2022-12-05施行；后续商转组合等政策与本办法关系待核验,完整HTML正文共17条；页面未载有效期或废止信息，且部分引用的2020年贷款文件已到期，办理条件不得仅凭本页判断
QD-DEP-002,青岛,缴存/年度参数,青岛市住房公积金管理中心关于做好2026年度住房公积金缴存基数调整工作的通知,青岛市住房公积金管理中心,青住金发〔2026〕5号,2026-07-06,2026-07-01,2027-06-30,现行年度参数,A,http://www.qdgjj.com/zcfg_108/jc_108/202607/t20260706_10652850.shtml,,sources/qingdao/2026-qingzhujinfa-5-contribution-base.html,49cefbff61abfe362904759d99f4ce15a00b7e13eeb008636ace63f12807fdc1,2026-08-02,否,2026汇缴年度为2026-07-01至2027-06-30；自缴存2026年7月公积金起启用调整后参数,完整HTML正文；基数上限34342.75元并按区域设2400元或2210元下限；单位和职工比例各5%至12%；灵活就业月缴存额222元至8242元
QD-C2P-002,青岛,贷款/商转组合,青岛市住房公积金管理中心关于开展“商转组合”贷款业务的通知,青岛市住房公积金管理中心,青住金字〔2023〕75号,2023-11-06,2023-11-06,,未发现废止依据（2026-07官方通知继续引用；效力待终核）,A,http://www.qdgjj.com/zcfg_108/dk_108/202311/t20231106_7645141.shtml,,sources/qingdao/2023-qingzhujinzi-75-commercial-combination.html,5370a12d5d6d35b4803df30896b6b4020d5de4d53f3d77a8d9d460db76765271,2026-08-02,否,补充青住金字〔2022〕80号并允许部分商贷转公积金贷款形成商转组合；未调整事项仍按原办法执行,完整HTML正文；原商贷剩余本金不超过房屋当前评估价值70%；以贷款受理时点为准；合作银行范围须查最新公告
QD-C2P-003,青岛,贷款/商转组合/合作银行,关于新增青岛银行“商转组合”贷款业务试运行的通知,青岛市住房公积金管理中心,,2026-07-15,2026-07-15,,截至2026-07-15的业务范围快照,A,http://www.qdgjj.com/ggl_108/202607/t20260715_10677063.shtml,,sources/qingdao/2026-commercial-combination-qingdao-bank.html,ea42d1abb7d24fe0c846e985c4176ddf1c1758fe2387d149f4bd68acb3296ce8,2026-08-02,否,继续引用青住金字〔2022〕80号和青住金字〔2023〕75号；新增青岛银行后商转组合合作银行为14家,完整HTML正文；同时列明商转公21家和商转组合14家银行；名单属于发布日期快照，办理前须复核后续公告
QD-TRN-001,青岛,转移/异地转移接续,关于青岛市使用全国住房公积金异地转移接续平台办理住房公积金异地转移接续业务的通知,青岛市住房公积金管理中心,青住金字〔2017〕18号,2017-05-15,2017-05-15,,效力状态待核验（官网未标失效）,A,http://www.qdgjj.com/zcfg_108/zy_108/202206/t20220607_6101915.shtml,,sources/qingdao/2017-qingzhujinzi-18-intercity-transfer.html,f6f0058d8a7c3d65b500513a193bafe91fd7703f1cb87988aedc07804e363f9a,2026-08-02,否,规范全国异地转移接续平台的转入和转出流程；后续线上渠道及办理材料变化待核验,完整HTML正文；正文落款2017-05-15且规定自发布之日起施行；网页发布时间2017-05-16；现行办事材料不得仅凭该历史流程判断
QD-TRN-002,青岛,转移/违规提取/信用,青岛市住房公积金管理中心关于规范我市异地转移接续政策加大违规提取住房公积金治理力度有关事项的通知,青岛市住房公积金管理中心,青住金规〔2018〕7号,2018-06-29,2018-08-01,2021-07-31,已失效（文件明示有效期届满）,A,http://www.qdgjj.com/zcfg_108/zy_108/202206/t20220607_6101913.shtml,,sources/qingdao/2018-qingzhujingui-7-transfer-illegal-withdrawal.html,123fcc1a6f56398e795195e51ae58caa590a3cb31f1424ee7376dc12aa898a8a,2026-08-02,否,适用于2018-08-01至2021-07-31；其中异地转入稳定缴存半年及违规提取惩戒口径不得直接用于当前事项,完整HTML正文；页面虽未在标题标已失效但正文明确有效期至2021-07-31；仅作历史规则和替代关系检索
QD-TRN-003,青岛,转移/同城转移,关于完善职工因原缴存单位注销等情形办理住房公积金账户同城转移流程的通知,青岛市住房公积金管理中心,青住金字〔2018〕24号,2018-03-23,,,效力状态待核验（官网未标施行日或废止信息）,A,http://www.qdgjj.com/zcfg_108/zy_108/202206/t20220607_6101914.shtml,,sources/qingdao/2018-qingzhujinzi-24-intracity-transfer.html,59380c7d8628d1d5911b50acd6e1f777102b974a0f2b90d6db70471b025e9a78,2026-08-02,否,针对原单位注销或账户封存满30日等同城转移情形；当前线上流程和要件待最新办事指南复核,完整HTML正文；正文落款及印发日为2018-03-23而网页发布时间为2018-03-26；正文未载施行日和有效期
QD-TRN-004,青岛,转移/胶东经济圈/异地贷款,关于优化调整胶东经济圈住房公积金转移接续及异地贷款政策的通知,青岛市住房公积金管理中心,,2021-12-30,2022-01-04,,效力状态待核验（官网未标废止）,A,http://www.qdgjj.com/zcfg_108/zy_108/202206/t20220607_6101916.shtml,,sources/qingdao/2021-jiaodong-transfer-loan-optimization.html,fa950f80daaedc4095ce0c199ffc525f7f9b3a255a0186c85d9f9030378842d2,2026-08-02,否,对烟台威海潍坊日照缴存职工简化转入条件并缩短时限；异地贷款次数等须结合现行贷款办法复核,完整HTML正文；文件明确自2022-01-04起优化调整但无文号和有效期；是否仍按1个工作日办理及当前共享渠道待核验
NAT-REG-002,国家,行政法规/修改决定,国务院关于修改部分行政法规的决定,国务院,国务院令第710号,2019-03-24,2019-03-24,,现行修改链依据,A,https://www.gov.cn/zhengce/content/2019-04/10/content_5381233.htm,,sources/national/2019-state-council-decree-710.html,7964e3699a93a1e587b3274b661a2a919288b08249868f7e3e4588a0ea72952e,2026-08-02,否,决定第三项修改《住房公积金管理条例》第十三条第二款、第十四条和第十五条；自公布之日起施行,国务院令及决定完整正文；正文落款和施行日为2019-03-24，网页发布时间为2019-04-10
NAT-BADDEBT-002,国家,呆账核销/效力清理,关于公布住房和城乡建设部规范性文件清理结果目录的公告,住房和城乡建设部,住房和城乡建设部公告第894号,2011-01-26,,,历史效力快照（建金管函〔2006〕26号当时列为继续有效）,A,https://www.gov.cn/gongbao/content/2011/content_1899502.htm,,sources/national/2011-mohurd-announcement-894-cleanup.html,81b7650cd42c77a9734dfc3a7d111453833abf8551c6e48c68c7ab6ebe65d69a,2026-08-02,否,继续有效目录第748项列建金管函〔2006〕26号《关于转发〈财政部关于印发住房公积金呆账核销管理暂行办法的通知〉的通知》,只能证明住建部转发通知在2011年清理时列为继续有效；不能替代财政部对财综〔2006〕10号的当前效力结论
NAT-REG-003,国家,行政法规/修法动态,李强主持召开国务院常务会议 学习贯彻习近平总书记关于上半年经济形势和做好下半年经济工作的重要讲话精神,国务院,,2026-07-31,,,立法进程信息（修改决定草案已审议通过；非生效文本）,A,https://www.gov.cn/yaowen/liebiao/202607/content_7077210.htm,,sources/national/2026-07-31-state-council-executive-meeting.html,e024a518406735457b68877659b33b82c9d199aec7185bd36649e1d27972b6c3,2026-08-02,否,会议审议通过《国务院关于修改〈住房公积金管理条例〉的决定（草案）》；须待正式决定公布后核验修改条文和施行日,会议提出拓宽提取和使用范围、扩大制度覆盖面、提升管理服务效能；不得将会议方向表述为已生效具体规则
NAT-REG-004,国家,行政法规/政策解读,国务院常务会议解读｜住房公积金将更好满足居民多样化住房消费需求,中国政府网（新华社稿）,,2026-07-31,,,官方政策解读（不作为已生效条文）,C,https://www.gov.cn/zhengce/202607/content_7077250.htm,,sources/national/2026-07-31-regulation-draft-policy-explainer.html,a902cacb5369b72de10fe4f1c2a6638dca80114ca321eac5c102fdbb01dcd8e6,2026-08-02,否,解读国务院常务会议通过的修改决定草案，提及住房消费范围和灵活就业人员覆盖方向,仅用于理解修法背景与方向；草案全文、正式决定、国务院令和施行日期均待官方公布核验
